,close
624,3538.0087
623,3511.9424
622,3518.5232
621,3488.3073
620,3496.2028
619,3482.8813
618,3460.138
617,3394.2571
616,3399.598
615,3391.2823
614,3399.4618
613,3419.4548
612,3426.803
611,3369.605
610,3351.9639
609,3341.5517
608,3329.3657
607,3334.0412
606,3297.5022
605,3330.8698
604,3337.2281
603,3347.4508
602,3324.7902
601,3336.3572
600,3414.5403
599,3431.1099
598,3386.3522
597,3378.2971
596,3347.0519
595,3329.1114
594,3286.0564
593,3292.4994
592,3277.129
591,3295.6717
590,3284.1667
589,3280.9195
588,3300.8762
587,3229.082
586,3274.7286
585,3269.7763
584,3218.9016
583,3231.9329
582,3277.1089
581,3342.9189
580,3333.8213
579,3303.9604
578,3245.0387
577,3215.3518
576,3217.7109
575,3179.6276
574,3200.4218
573,3311.6922
572,3343.6303
571,3364.9297
570,3403.8078
569,3410.8542
568,3456.8713
567,3486.6747
566,3489.7416
565,3453.3585
564,3494.7874
563,3450.2598
562,3516.0826
561,3537.8038
560,3540.8686
559,3565.5143
558,3551.0481
557,3529.7195
556,3544.9099
555,3589.2635
554,3597.4939
553,3572.361
552,3562.2229
551,3569.993
550,3603.528
549,3577.6303
548,3585.3838
547,3581.0902
546,3545.0023
545,3525.7634
544,3543.7467
543,3502.7866
542,3520.9648
541,3537.4843
540,3595.6466
539,3580.6759
538,3567.8031
537,3536.4077
536,3533.4871
535,3504.7086
534,3504.2447
533,3475.8389
532,3549.0759
531,3511.1146
530,3565.403
529,3569.8018
528,3541.6619
527,3530.9045
526,3506.2249
525,3521.6219
524,3530.2813
523,3584.2686
522,3623.9124
521,3604.3943
520,3657.8767
519,3659.0076
518,3630.2233
517,3664.561
516,3666.2771
515,3664.6907
514,3657.0454
513,3626.0559
512,3640.3592
511,3677.9696
510,3690.9623
509,3676.1611
508,3684.451
507,3641.7917
506,3601.4754
505,3635.7079
504,3609.1724
503,3613.5223
502,3594.3121
501,3579.9247
500,3588.7483
499,3615.6714
498,3594.7936
497,3592.2454
496,3574.1143
495,3542.8771
494,3544.1225
493,3526.1306
492,3541.5331
491,3536.1986
490,3545.5902
489,3528.749
488,3503.2817
487,3495.6198
486,3476.8102
485,3457.9023
484,3480.2648
483,3454.1175
482,3461.657
481,3478.1827
480,3471.7857
479,3463.4141
478,3445.8128
477,3431.0605
476,3401.7604
475,3439.8111
474,3428.9657
473,3468.169
472,3472.4014
471,3476.2467
470,3498.2827
469,3501.5836
468,3520.931
467,3539.0156
466,3514.9249
465,3439.8779
464,3418.1663
463,3399.2716
462,3409.2931
461,3390.742
460,3369.3821
459,3442.0844
458,3419.2666
457,3384.3919
456,3343.3205
455,3342.9789
454,3341.489
453,3342.9369
452,3331.6274
451,3325.8645
450,3334.3903
449,3309.2389
448,3341.953
447,3345.634
446,3356.9677
445,3332.7034
444,3321.635
443,3313.1357
442,3327.1905
441,3324.2231
440,3305.3338
439,3286.4956
438,3277.6812
437,3321.4323
436,3265.011
435,3273.4282
434,3252.1649
433,3257.7578
432,3231.3457
431,3192.9516
430,3195.7552
429,3186.1299
428,3172.4747
427,3159.247
426,3171.0102
425,3196.0357
424,3201.0497
